Season,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,DB_clusters
2020,Trent Alexander-Arnold,eng ENG,DF,21,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8,-1
2020,Georginio Wijnaldum,nl NED,MF,29,32.7,2,31,9,29.0,0.95,0.28,0.06,0.22,16.9,1,0,0,3.2,3.2,0.1,-1.2,-1.2,0
2020,Alisson,br BRA,GK,27,33.0,1,1,1,100.0,0.03,0.03,1.0,1.0,6.0,0,0,0,0.1,0.1,0.1,0.9,0.9,-1
2020,Roberto Firmino,br BRA,FW,28,31.5,9,83,32,38.6,2.63,1.01,0.11,0.28,13.8,0,0,0,12.6,12.6,0.16,-3.6,-3.6,-1
2020,Sadio Mané,sn SEN,FW,28,31.2,11,93,35,37.6,2.98,1.12,0.12,0.31,12.8,0,0,0,15.2,15.2,0.16,-4.2,-4.2,-1
2020,Fabinho,br BRA,MF,26,28.5,0,10,1,10.0,0.35,0.04,0.0,0.0,21.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,0
2020,Thiago Alcántara,es ESP,MF,29,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,21.0,1,0,0,1.4,1.4,0.06,-0.4,-0.4,0
2020,Jordan Henderson,eng ENG,MF,30,18.9,1,14,4,28.6,0.74,0.21,0.07,0.25,17.6,0,0,0,1.7,1.7,0.12,-0.7,-0.7,0
2020,Nathaniel Phillips,eng ENG,DF,23,16.2,1,13,1,7.7,0.8,0.06,0.08,1.0,9.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,-1
2020,Curtis Jones,eng ENG,MF,19,13.1,1,19,8,42.1,1.45,0.61,0.05,0.13,18.7,0,0,0,1.4,1.4,0.07,-0.4,-0.4,0
2020,Diogo Jota,pt POR,FW,23,12.4,9,46,26,56.5,3.72,2.1,0.2,0.35,13.7,0,0,0,6.6,6.6,0.14,2.4,2.4,-1
2020,James Milner,eng ENG,MF,34,11.9,0,12,3,25.0,1.01,0.25,0.0,0.0,22.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,0
2020,Ozan Kabak,tr TUR,DF,20,8.9,0,1,0,0.0,0.11,0.0,0.0,0.0,4.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1,0
2020,Joël Matip,cm CMR,DF,28,7.7,1,5,2,40.0,0.65,0.26,0.2,0.5,6.8,0,0,0,0.6,0.6,0.13,0.4,0.4,-1
2020,Rhys Williams,eng ENG,DF,19,7.3,0,7,0,0.0,0.95,0.0,0.0,0.0,8.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,0
2020,Naby Keïta,gn GUI,MF,25,5.8,0,9,2,22.2,1.56,0.35,0.0,0.0,19.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,0
2020,Joe Gomez,eng ENG,DF,23,6.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2020,Xherdan Shaqiri,ch SUI,MF,28,6.2,0,11,0,0.0,1.78,0.0,0.0,0.0,21.8,1,0,0,0.4,0.4,0.04,-0.4,-0.4,0
2020,Virgil van Dijk,nl NED,DF,29,4.1,1,4,2,50.0,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7,0
2020,Adrián,es ESP,GK,33,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2020,Neco Williams,wls WAL,DF,19,2.8,0,2,0,0.0,0.72,0.0,0.0,0.0,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,0
2020,Takumi Minamino,jp JPN,FW,25,3.3,1,7,3,42.9,2.15,0.92,0.14,0.33,16.4,0,0,0,0.7,0.7,0.09,0.3,0.3,0
2020,Alex Oxlade-Chamberlain,eng ENG,MF,26,2.8,1,8,3,37.5,2.85,1.07,0.13,0.33,19.7,0,0,0,0.4,0.4,0.05,0.6,0.6,0
2020,Divock Origi,be BEL,FW,25,2.1,0,7,2,28.6,3.39,0.97,0.0,0.0,18.0,0,0,0,1.0,1.0,0.14,-1.0,-1.0,0
2020,Caoimhín Kelleher,ie IRL,GK,21,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2020,Kostas Tsimikas,gr GRE,DF,24,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2021,Alisson,br BRA,GK,28,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2021,Virgil van Dijk,nl NED,DF,30,34.0,3,35,13,37.1,1.03,0.38,0.09,0.23,11.8,1,0,0,2.4,2.4,0.07,0.6,0.6,0
2021,Trent Alexander-Arnold,eng ENG,DF,22,31.7,2,51,14,27.5,1.61,0.44,0.04,0.14,23.0,5,0,0,2.7,2.7,0.05,-0.7,-0.7,-1
2021,Sadio Mané,sn SEN,FW,29,31.3,16,99,37,37.4,3.16,1.18,0.16,0.43,13.3,0,0,0,16.7,16.7,0.17,-0.7,-0.7,-1
2021,Joël Matip,cm CMR,DF,29,31.0,3,34,7,20.6,1.1,0.23,0.09,0.43,8.7,0,0,0,3.1,3.1,0.09,-0.1,-0.1,0
2021,Mohamed Salah,eg EGY,FW,29,30.7,23,134,49,36.6,4.37,1.6,0.13,0.37,15.5,1,5,6,21.8,17.0,0.13,1.2,1.0,-1
2021,Jordan Henderson,eng ENG,MF,31,28.9,2,31,6,19.4,1.07,0.21,0.06,0.33,23.0,1,0,0,1.5,1.5,0.05,0.5,0.5,0
2021,Andrew Robertson,sct SCO,DF,27,28.2,3,18,8,44.4,0.64,0.28,0.17,0.38,17.2,0,0,0,1.9,1.9,0.1,1.1,1.1,0
2021,Diogo Jota,pt POR,FW,24,26.3,15,91,33,36.3,3.46,1.26,0.16,0.45,11.8,0,0,0,16.1,16.1,0.18,-1.1,-1.1,-1
2021,Fabinho,br BRA,MF,27,25.7,5,19,7,36.8,0.74,0.27,0.16,0.43,18.8,1,2,2,3.4,1.9,0.11,1.6,1.1,-1
2021,Thiago Alcántara,es ESP,MF,30,17.0,1,25,6,24.0,1.47,0.35,0.04,0.17,18.2,0,0,0,1.8,1.8,0.08,-0.8,-0.8,0
2021,Naby Keïta,gn GUI,MF,26,13.0,3,26,7,26.9,1.99,0.54,0.12,0.43,21.3,0,0,0,2.3,2.3,0.09,0.7,0.7,0
2021,Ibrahima Konaté,fr FRA,DF,22,11.0,0,4,0,0.0,0.36,0.0,0.0,0.0,9.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,0
2021,Luis Díaz,co COL,FW,24,10.6,4,38,14,36.8,3.57,1.32,0.11,0.29,16.0,0,0,0,4.5,4.5,0.12,-0.5,-0.5,-1
2021,Roberto Firmino,br BRA,FW,29,11.0,5,30,11,36.7,2.73,1.0,0.17,0.45,15.1,0,0,0,5.0,5.0,0.17,0.0,0.0,-1
2021,Curtis Jones,eng ENG,MF,20,9.5,1,19,7,36.8,2.01,0.74,0.05,0.14,22.1,0,0,0,0.9,0.9,0.05,0.1,0.1,-1
2021,Kostas Tsimikas,gr GRE,DF,25,9.7,0,8,2,25.0,0.82,0.21,0.0,0.0,17.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,0
2021,James Milner,eng ENG,MF,35,9.5,0,10,2,20.0,1.06,0.21,0.0,0.0,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,0
2021,Alex Oxlade-Chamberlain,eng ENG,MF,27,8.7,2,21,3,14.3,2.41,0.34,0.1,0.67,20.3,0,0,0,1.2,1.2,0.06,0.8,0.8,0
2021,Harvey Elliott,eng ENG,MF,18,3.8,0,10,1,10.0,2.6,0.26,0.0,0.0,17.2,0,0,0,0.9,0.9,0.09,-0.9,-0.9,0
2021,Joe Gomez,eng ENG,DF,24,3.7,0,1,0,0.0,0.27,0.0,0.0,0.0,29.1,0,0,0,0.0,0.0,0.01,0.0,0.0,-1
2021,Caoimhín Kelleher,ie IRL,GK,22,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2021,Takumi Minamino,jp JPN,FW,26,2.1,3,7,4,57.1,3.39,1.94,0.43,0.75,13.5,0,0,0,1.8,1.8,0.26,1.2,1.2,-1
2021,Tyler Morton,eng ENG,MF,18,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2021,Divock Origi,be BEL,FW,26,1.5,3,10,5,50.0,6.77,3.38,0.3,0.6,13.9,0,0,0,1.6,1.6,0.16,1.4,1.4,-1
2021,Kaide Gordon,eng ENG,FW,16,0.1,0,1,1,100.0,10.0,10.0,0.0,0.0,19.0,0,0,0,0.4,0.4,0.45,-0.4,-0.4,-1
2021,Neco Williams,wls WAL,DF,20,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
