season,Player,Nation,Pos,Age,90s,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,xG,npxG,xA,xG_90,xA_90,xG+xA_90,npxG_90,DB_clusters
2019,Joe Gomez,eng ENG,DF,22,22.3,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.0,0
2019,Alex Oxlade-Chamberlain,eng ENG,MF,25,16.5,4.0,1.0,4.0,0.0,1.0,0.0,0.24,0.06,0.3,0.24,2.9,2.9,1.2,0.17,0.08,0.25,0.17,0
2019,James Milner,eng ENG,MF,33,10.4,2.0,2.0,0.0,2.0,4.0,0.0,0.19,0.19,0.38,0.0,2.1,0.6,0.7,0.2,0.07,0.27,0.06,0
2019,Adrián,es ESP,GK,32,9.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,Naby Keïta,gn GUI,MF,24,9.1,2.0,3.0,2.0,0.0,1.0,0.0,0.22,0.33,0.55,0.22,1.5,1.5,2.3,0.17,0.26,0.43,0.17,0
2019,Dejan Lovren,hr CRO,DF,30,8.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12,0.12,0.0,0.3,0.3,0.4,0.03,0.04,0.07,0.03,0
2019,Joël Matip,cm CMR,DF,27,7.8,1.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.3,0.3,0.0,0.04,0.0,0.04,0.04,0
2019,Divock Origi,be BEL,FW,24,8.0,4.0,1.0,4.0,0.0,1.0,0.0,0.5,0.13,0.63,0.5,2.2,2.2,0.2,0.28,0.03,0.3,0.28,0
2019,Adam Lallana,eng ENG,MF,31,4.2,1.0,1.0,1.0,0.0,1.0,0.0,0.24,0.24,0.47,0.24,1.1,1.1,0.7,0.25,0.16,0.41,0.25,0
2019,Neco Williams,wls WAL,DF,18,2.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.04,0.14,0.1,0
2019,Takumi Minamino,jp JPN,FW,24,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.52,0.01,0.53,0.52,0
2019,Xherdan Shaqiri,ch SUI,MF,27,2.1,1.0,0.0,1.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.6,0.6,0.2,0.28,0.11,0.38,0.28,0
